lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
LOTO6,478,2010-01-07,11,14,23,30,31,38,42,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=461_480&type=loto6,2026-08-21T01:53:00.839056+00:00,2594760c5fb1cd2e4a77655f74a76b4bd287712b3514f6975b57ef5bdccd5e66
LOTO6,479,2010-01-14,5,7,14,17,20,27,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=461_480&type=loto6,2026-08-21T01:53:00.839056+00:00,2594760c5fb1cd2e4a77655f74a76b4bd287712b3514f6975b57ef5bdccd5e66
LOTO6,480,2010-01-21,2,5,17,18,35,38,34,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=461_480&type=loto6,2026-08-21T01:53:00.839056+00:00,2594760c5fb1cd2e4a77655f74a76b4bd287712b3514f6975b57ef5bdccd5e66
LOTO6,481,2010-01-28,2,9,11,24,25,34,20,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,482,2010-02-04,4,30,31,36,37,38,19,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,483,2010-02-11,2,8,15,24,33,35,30,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,484,2010-02-18,13,19,25,29,32,35,42,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,485,2010-02-25,14,26,30,33,34,39,19,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,486,2010-03-04,16,25,27,29,34,41,6,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,487,2010-03-11,2,6,8,19,22,34,30,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,488,2010-03-18,5,15,29,34,39,42,6,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,489,2010-03-25,6,8,12,30,33,43,36,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,490,2010-04-01,5,9,13,28,34,40,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,491,2010-04-08,7,9,20,27,31,34,33,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,492,2010-04-15,1,8,12,20,23,37,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,493,2010-04-22,8,26,30,36,41,42,20,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,494,2010-04-29,8,16,19,23,26,31,6,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,495,2010-05-06,4,6,20,21,29,33,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,496,2010-05-13,2,6,11,29,32,41,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,497,2010-05-20,6,12,14,17,36,40,34,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,498,2010-05-27,1,25,36,41,42,43,39,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,499,2010-06-03,3,9,15,16,22,35,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,500,2010-06-10,6,20,28,31,34,38,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=481_500&type=loto6,2026-08-21T01:53:00.067175+00:00,18d57f342de659afdc8cd949116a8b3354ea23be8eb745088043ec50bdccdc18
LOTO6,501,2010-06-17,3,17,21,23,36,38,7,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,502,2010-06-24,9,12,27,28,29,41,7,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,503,2010-07-01,1,18,25,27,28,39,11,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,504,2010-07-08,12,21,22,27,29,31,35,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,505,2010-07-15,19,21,27,33,34,43,41,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
LOTO6,506,2010-07-22,5,11,21,27,37,39,26,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=501_520&type=loto6,2026-08-21T01:52:59.406869+00:00,96d447e6b2fecf083bd533d1630efd79c784766bbd4ec7b6bc2a1c33704b89ed
