lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
MINI_LOTO,543,2010-01-05,4,7,17,22,25,,30,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,544,2010-01-12,3,9,18,29,30,,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,545,2010-01-19,1,15,23,28,29,,2,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,546,2010-01-26,3,8,19,22,29,,20,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,547,2010-02-02,5,23,25,29,31,,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,548,2010-02-09,5,6,16,23,29,,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,549,2010-02-16,10,12,19,24,25,,14,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,550,2010-02-23,8,16,22,28,31,,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,551,2010-03-02,1,2,10,24,31,,28,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,552,2010-03-09,7,11,14,17,28,,29,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,553,2010-03-16,2,13,23,24,30,,15,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,554,2010-03-23,2,6,23,24,28,,9,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
